2.587,0.607,1.1625,2.167,2.134,0.374,2.666,0.834
2.587,0.607,1.1635,2.166,2.133,0.3745,2.666,0.834
2.587,0.6075,1.1625,2.166,2.134,0.374,2.6645,0.834
2.587,0.607,1.164,2.166,2.133,0.374,2.6655,0.834
2.5865,0.607,1.1635,2.167,2.134,0.374,2.664,0.834
2.5875,0.607,1.1635,2.166,2.1325,0.374,2.664,0.8335
2.5865,0.607,1.1635,2.1655,2.1335,0.374,2.666,0.8335
2.5865,0.607,1.1635,2.1655,2.1335,0.374,2.6645,0.8335
2.586,0.607,1.1635,2.1665,2.1325,0.374,2.6655,0.8335
2.5865,0.6065,1.1635,2.1655,2.1335,0.3735,2.6645,0.8335
2.587,0.6065,1.1635,2.166,2.134,0.3735,2.6635,0.8335
2.586,0.6065,1.1635,2.166,2.133,0.374,2.6635,0.833
2.5865,0.6065,1.1635,2.165,2.1325,0.3735,2.664,0.834
2.5875,0.606,1.1635,2.166,2.134,0.3735,2.6635,0.833
2.586,0.6065,1.1635,2.166,2.1345,0.3735,2.6635,0.8335
2.5875,0.606,1.164,2.166,2.1325,0.3735,2.6615,0.833
2.5865,0.6065,1.164,2.1655,2.1325,0.3735,2.6635,0.8335
2.588,0.606,1.1645,2.166,2.133,0.3735,2.6635,0.8335
2.586,0.6065,1.164,2.1655,2.133,0.3735,2.662,0.833
2.5865,0.606,1.164,2.1655,2.1325,0.3735,2.6635,0.8335
2.5875,0.606,1.164,2.1655,2.1325,0.3735,2.663,0.833
2.5865,0.606,1.164,2.1655,2.1335,0.3735,2.6635,0.833
2.587,0.6065,1.164,2.1655,2.1315,0.3735,2.661,0.833
2.5865,0.606,1.1645,2.167,2.133,0.373,2.6625,0.8335
2.5865,0.606,1.164,2.1655,2.1325,0.3735,2.663,0.8335
2.587,0.6055,1.1645,2.166,2.1325,0.373,2.661,0.833
2.587,0.606,1.1645,2.1665,2.1325,0.3725,2.661,0.8335
2.587,0.606,1.1645,2.1655,2.1325,0.3725,2.662,0.8335
2.5865,0.6055,1.164,2.1655,2.1335,0.3725,2.6615,0.833
2.587,0.6055,1.164,2.1655,2.1325,0.3725,2.6605,0.833
2.587,0.6065,1.164,2.1655,2.1315,0.3725,2.6605,0.833
2.5865,0.6055,1.164,2.1645,2.1315,0.3725,2.6615,0.8335
2.5865,0.6055,1.164,2.1645,2.1315,0.3725,2.6605,0.833
2.5865,0.6055,1.164,2.1655,2.1325,0.3725,2.66,0.833
2.586,0.6055,1.164,2.165,2.1325,0.3725,2.661,0.8335
2.586,0.6055,1.164,2.165,2.133,0.3725,2.662,0.833
2.586,0.6055,1.164,2.1655,2.133,0.3725,2.6605,0.833
2.5865,0.6055,1.164,2.167,2.1315,0.372,2.66,0.833
2.586,0.6055,1.164,2.165,2.1335,0.3725,2.66,0.833
2.586,0.6055,1.164,2.1645,2.1315,0.372,2.661,0.833
2.5865,0.6055,1.1645,2.165,2.131,0.371,2.66,0.833
2.587,0.6055,1.164,2.165,2.131,0.371,2.659,0.833
2.5865,0.6055,1.1645,2.1655,2.1315,0.371,2.659,0.833
2.587,0.6055,1.1645,2.1655,2.1315,0.371,2.6585,0.833
2.5855,0.6055,1.164,2.165,2.1325,0.371,2.659,0.8335
2.5855,0.6055,1.164,2.165,2.1325,0.371,2.659,0.833
2.5865,0.605,1.1645,2.165,2.1315,0.371,2.6595,0.8325
2.586,0.6045,1.164,2.1655,2.1315,0.371,2.659,0.833
2.586,0.6045,1.164,2.165,2.131,0.37,2.659,0.8325
2.587,0.6055,1.1645,2.1645,2.131,0.37,2.6575,0.8325
2.5855,0.605,1.164,2.165,2.133,0.37,2.659,0.833
2.586,0.605,1.164,2.1655,2.1325,0.3695,2.657,0.8325
2.5865,0.605,1.164,2.1645,2.1315,0.3695,2.658,0.833
2.5865,0.605,1.1645,2.165,2.1315,0.3695,2.657,0.8325
2.586,0.6045,1.164,2.1655,2.1315,0.3695,2.6565,0.832
2.5855,0.605,1.1635,2.1645,2.1305,0.3695,2.657,0.833
2.586,0.6045,1.164,2.1645,2.131,0.3695,2.658,0.8325
2.5855,0.6045,1.1635,2.165,2.1315,0.37,2.656,0.8325
2.586,0.6045,1.164,2.1635,2.1305,0.3695,2.6575,0.833
2.5855,0.6045,1.1635,2.165,2.1305,0.3695,2.6565,0.8325
2.5855,0.605,1.164,2.165,2.1305,0.3695,2.6555,0.8325
2.5855,0.6045,1.164,2.1645,2.131,0.3695,2.656,0.8325
2.586,0.6045,1.164,2.165,2.131,0.3695,2.655,0.832
2.586,0.6045,1.164,2.165,2.131,0.3695,2.6545,0.832
2.5855,0.6045,1.1635,2.1655,2.1315,0.3695,2.655,0.832
2.586,0.6045,1.164,2.1655,2.1315,0.3695,2.655,0.832
2.586,0.6045,1.164,2.1655,2.1315,0.3695,2.6545,0.8325
2.5875,0.6045,1.1645,2.1645,2.131,0.3695,2.655,0.833
2.5855,0.6045,1.1635,2.1645,2.131,0.3695,2.654,0.8325
2.5865,0.6045,1.164,2.164,2.131,0.3695,2.655,0.8325
2.5855,0.6045,1.163,2.1635,2.131,0.3695,2.656,0.8325
2.586,0.6045,1.1635,2.165,2.1315,0.3695,2.6545,0.833
2.5855,0.6045,1.1635,2.1645,2.131,0.3695,2.654,0.833
2.5855,0.6045,1.1635,2.1645,2.1315,0.3695,2.6545,0.833
2.5865,0.6045,1.1635,2.1645,2.1315,0.3695,2.6545,0.8325
2.5865,0.6045,1.1635,2.1645,2.1315,0.3695,2.654,0.833
2.585,0.6045,1.1635,2.1655,2.131,0.3695,2.653,0.8325
2.586,0.6045,1.1635,2.165,2.131,0.37,2.652,0.832
2.586,0.6045,1.1635,2.1645,2.1305,0.372,2.652,0.8325
2.5865,0.6045,1.1635,2.1645,2.1315,0.3745,2.653,0.8325
2.5855,0.6045,1.1635,2.165,2.1325,0.379,2.6525,0.833
2.586,0.6045,1.164,2.165,2.131,0.384,2.6525,0.833
2.5855,0.6045,1.1635,2.164,2.1315,0.39,2.653,0.8325
2.586,0.6035,1.1645,2.1645,2.1325,0.3975,2.653,0.833
2.5855,0.6045,1.164,2.1645,2.132,0.406,2.652,0.8335
2.585,0.6045,1.1645,2.1655,2.1335,0.417,2.6525,0.8335
2.586,0.6035,1.166,2.165,2.133,0.43,2.6525,0.8335
2.586,0.6035,1.166,2.1645,2.1335,0.446,2.654,0.8355
2.5855,0.6035,1.167,2.1645,2.1345,0.4645,2.6555,0.835
2.586,0.6035,1.168,2.1645,2.1345,0.486,2.655,0.8355
2.585,0.6035,1.169,2.1645,2.135,0.5115,2.6565,0.8365
2.5865,0.603,1.172,2.1655,2.137,0.539,2.655,0.837
2.5875,0.603,1.1745,2.1655,2.1375,0.571,2.656,0.8375
2.5865,0.603,1.176,2.1655,2.1375,0.604,2.6575,0.838
2.587,0.603,1.1795,2.167,2.139,0.639,2.658,0.8385
2.5875,0.603,1.1825,2.1675,2.14,0.676,2.659,0.8395
2.5875,0.603,1.1865,2.168,2.142,0.7155,2.661,0.84
2.5895,0.603,1.1905,2.168,2.1425,0.7555,2.662,0.841
2.589,0.603,1.195,2.169,2.144,0.7955,2.664,0.8425
2.5905,0.603,1.2,2.1695,2.1445,0.835,2.665,0.843
2.591,0.6025,1.205,2.171,2.1465,0.8745,2.669,0.8435
2.5915,0.6025,1.211,2.171,2.1485,0.912,2.673,0.8445
2.592,0.6025,1.217,2.173,2.1505,0.9475,2.676,0.8455
2.593,0.6025,1.2225,2.172,2.1515,0.982,2.6805,0.8475
2.596,0.6025,1.23,2.1735,2.1525,1.0155,2.6835,0.848
2.5965,0.6025,1.237,2.1745,2.155,1.0495,2.69,0.8485
2.5975,0.6025,1.245,2.176,2.157,1.082,2.691,0.849
2.5995,0.6025,1.2525,2.177,2.158,1.1155,2.6945,0.8495
2.601,0.6025,1.26,2.1785,2.161,1.148,2.6985,0.851
2.601,0.6025,1.269,2.1795,2.164,1.18,2.704,0.852
2.6025,0.6025,1.2785,2.1805,2.1665,1.211,2.7095,0.8525
2.605,0.6025,1.2875,2.1835,2.168,1.2425,2.712,0.854
2.6065,0.6025,1.297,2.184,2.1705,1.2725,2.7165,0.855
2.608,0.6025,1.3075,2.1875,2.173,1.301,2.7215,0.8565
2.6125,0.6025,1.317,2.1875,2.174,1.3305,2.7265,0.858
2.6135,0.6025,1.328,2.189,2.178,1.3595,2.731,0.858
2.616,0.6025,1.3385,2.1915,2.182,1.387,2.7355,0.859
2.6175,0.6025,1.35,2.1925,2.182,1.4125,2.74,0.86
2.6205,0.6025,1.361,2.195,2.185,1.4365,2.7455,0.86
2.622,0.6025,1.372,2.1965,2.187,1.4585,2.7515,0.861
2.624,0.603,1.3845,2.2,2.1895,1.4795,2.7555,0.8625
2.627,0.603,1.3965,2.2005,2.1925,1.498,2.7615,0.8635
2.6285,0.603,1.408,2.2025,2.194,1.517,2.7665,0.865
2.632,0.603,1.421,2.205,2.1975,1.534,2.7725,0.8655
2.6355,0.603,1.434,2.206,2.1995,1.5485,2.778,0.8665
2.6385,0.603,1.4465,2.2095,2.2025,1.564,2.783,0.867
2.641,0.603,1.459,2.2125,2.2055,1.5795,2.789,0.8675
2.644,0.6035,1.471,2.214,2.2085,1.595,2.7955,0.87
2.647,0.604,1.4845,2.217,2.21,1.6105,2.8,0.87
2.6495,0.6035,1.4985,2.219,2.2135,1.6255,2.8065,0.871
2.654,0.6035,1.511,2.222,2.2165,1.6405,2.813,0.872
2.657,0.604,1.525,2.2245,2.2195,1.655,2.8195,0.8735
2.6605,0.604,1.5375,2.2265,2.2215,1.6685,2.8275,0.8755
2.6635,0.604,1.5505,2.228,2.225,1.6815,2.834,0.8755
2.668,0.6045,1.5655,2.232,2.2275,1.6925,2.8395,0.876
2.6695,0.605,1.578,2.2345,2.2315,1.705,2.847,0.877
2.6745,0.605,1.5925,2.2375,2.2335,1.716,2.855,0.8775
2.6775,0.606,1.605,2.24,2.2365,1.7255,2.8625,0.8785
2.682,0.606,1.62,2.2435,2.239,1.735,2.8675,0.8795
2.686,0.6075,1.633,2.2455,2.2425,1.745,2.8745,0.8815
2.689,0.6065,1.6475,2.2495,2.2465,1.756,2.882,0.882
2.693,0.608,1.66,2.2515,2.2485,1.765,2.889,0.8825
2.6975,0.608,1.674,2.2545,2.251,1.7745,2.896,0.8835
2.703,0.6085,1.688,2.2575,2.254,1.782,2.9025,0.884
2.706,0.6085,1.7015,2.2615,2.258,1.7905,2.909,0.885
2.71,0.61,1.715,2.2645,2.2605,1.7975,2.916,0.886
2.714,0.6105,1.7285,2.267,2.263,1.804,2.922,0.8875
2.7175,0.61,1.742,2.2705,2.2665,1.811,2.9285,0.888
2.722,0.611,1.755,2.2725,2.269,1.8175,2.9355,0.89
2.727,0.6115,1.768,2.277,2.273,1.8255,2.9425,0.89
